dayofyear,pr
1950-08-31,0.12528656
1950-09-01,0.13787083
1950-09-02,0.18767542
1950-09-03,0.12069683
1950-09-04,1.6085824
1950-09-05,2.5592873
1950-09-06,0.2816114
1950-09-07,0.22582789
1950-09-08,0.5015059
1950-09-09,0.98749876
1950-09-10,1.1078084
1950-09-11,0.24247578
1950-09-12,0.10607421
1950-09-13,0.28428522
1950-09-14,1.0492978
1950-09-15,1.6819566
1950-09-16,0.49275732
1950-09-17,0.271028
1950-09-18,0.3829809
1950-09-19,0.6431887
1950-09-20,0.60688484
1950-09-21,1.3776685
1950-09-22,0.12982357
1950-09-23,0.032522146
1950-09-24,0.31868303
1950-09-25,0.03305822
1950-09-26,0.07304537
1950-09-27,0.75671697
1950-09-28,0.5096369
1950-09-29,0.4908716
1950-09-30,1.0755913
1950-10-01,0.74844384
1950-10-02,0.18872823
1950-10-03,0.16797969
1950-10-04,2.7223082
1950-10-05,2.6547756
1950-10-06,0.712228
1950-10-07,0.1762036
1950-10-08,0.29346487
1950-10-09,0.026942344
1950-10-10,0.63010633
1950-10-11,1.1309811
1950-10-12,0.81268525
1950-10-13,0.3591392
1950-10-14,0.6647574
1950-10-15,0.1862625
1950-10-16,1.858979
1950-10-17,0.22526875
1950-10-18,0.012657193
1950-10-19,0.0743655
1950-10-20,0.73401487
1950-10-21,0.8320313
1950-10-22,0.1440325
1950-10-23,0.78302634
1950-10-24,1.0695097
1950-10-25,0.1042559
1950-10-26,0.014467669
1950-10-27,0.021558216
1950-10-28,0.19012925
1950-10-29,0.69449174
1950-10-30,0.30881387
1950-10-31,1.9328153
1950-11-01,1.4125729
1950-11-02,5.1066904
1950-11-03,1.12395
1950-11-04,1.1442611
1950-11-05,4.681369
1950-11-06,0.52836144
1950-11-07,0.07882038
1950-11-08,0.03248995
1950-11-09,0.03846904
1950-11-10,0.05561373
1950-11-11,0.11292806
1950-11-12,0.17722861
1950-11-13,0.003307634
1950-11-14,0.018120142
1950-11-15,0.011526134
1950-11-16,0.0351835
1950-11-17,0.110787794
1950-11-18,0.017288204
1950-11-19,0.11444715
1950-11-20,0.060739253
1950-11-21,0.25541368
1950-11-22,0.27330068
1950-11-23,0.06733581
1950-11-24,0.124267675
1950-11-25,1.8825643
1950-11-26,0.018340616
1950-11-27,0.07752018
1950-11-28,0.32615626
1950-11-29,0.019141976
1950-11-30,0.3706938
1950-12-01,0.3610604
