"","subcatchment","Curve_Number","Slope","percent_imp","Area_sqft","total_precip_in","total_runon_in","total_evap_in","total_infil_in","imperv_runoff_in","perv_runoff_in","total_runoff_in","total_runoff_10_6_gal","peak_runoff_cfs","runoff_coeff","runoff_normalized","Urbanization_level"
"74",74,45.63212165,0.513034194,49.9518791,1593473.115,1.08,0,0,0.47,0.38,0,0.38,0.37,10.07,0.348,2.38472802849893e-07,"Very urbanized (More than 45 % Impervious)"
"75",75,57.16000036,3.103798958,49.96926038,646779.5547,1.08,0,0,0.43,0.41,0,0.41,0.17,6.65,0.382,6.33909957450917e-07,"Very urbanized (More than 45 % Impervious)"
"76",76,61.94713271,12.66893273,21.94615359,1533842.77,1.08,0,0,0.62,0.19,0,0.19,0.18,7.4,0.172,1.2387188812058e-07,"Urbanized (Between 15 and 45 % Impervious)"
"77",77,47.55275509,0.063163121,27.73969292,519621.8684,1.08,0,0,0.61,0.22,0,0.22,0.07,2.19,0.202,4.23384798406225e-07,"Urbanized (Between 15 and 45 % Impervious)"
"78",78,42.51235661,0.662519556,45.86953124,1272102.338,1.08,0,0,0.52,0.36,0,0.36,0.28,8.38,0.33,2.82996099642417e-07,"Very urbanized (More than 45 % Impervious)"
"79",79,42.64163649,0.780962719,55.67441413,703208.6192,1.08,0,0,0.43,0.44,0,0.44,0.19,6.63,0.411,6.25703365952145e-07,"Very urbanized (More than 45 % Impervious)"
"80",80,42.06349546,0,34.72397236,328301.2434,1.08,0,0,0.63,0,0,0,0,0,0,0,"Urbanized (Between 15 and 45 % Impervious)"
"81",81,43.01181935,0.202127771,53.67397184,288828.9172,1.08,0,0,0.44,0.43,0,0.43,0.08,2.85,0.401,1.4887705987633e-06,"Very urbanized (More than 45 % Impervious)"
"82",82,52.36590093,12.98454078,50.03240953,65510.58194,1.08,0,0,0.45,0.44,0,0.44,0.02,0.73,0.407,6.71647216327567e-06,"Very urbanized (More than 45 % Impervious)"
"83",83,66.33976614,33.80248846,0,249137.794,1.08,0,0,0.71,0,0,0,0,0.08,0.004,0,"Natural (less than 15 % Impervious)"
"84",84,62.10954935,27.63411142,4.567331708,862615.6123,1.08,0,0,0.75,0.04,0,0.04,0.02,0.88,0.038,4.63705959289881e-08,"Natural (less than 15 % Impervious)"
"85",85,62,30.45274774,0.488281567,287422.7561,1.08,0,0,0.78,0,0,0,0,0.03,0.004,0,"Natural (less than 15 % Impervious)"
"86",86,62,32.79587617,0,259891.6286,1.08,0,0,0.79,0,0,0,0,0,0,0,"Natural (less than 15 % Impervious)"
"87",87,62,32.53339197,0.354659927,220569.3952,1.08,0,0,0.78,0,0,0,0,0.02,0.003,0,"Natural (less than 15 % Impervious)"
"88",88,58.86032285,12.4884884,45.34938012,245841.817,1.08,0,0,0.45,0.4,0,0.4,0.06,2.48,0.367,1.62706249441689e-06,"Very urbanized (More than 45 % Impervious)"
"89",89,58.82176935,12.26721668,54.37988009,929708.7833,1.08,0,0,0.38,0.45,0,0.45,0.26,10.85,0.421,4.84022532736246e-07,"Very urbanized (More than 45 % Impervious)"
"90",90,60.40234513,32.04143777,3.833246125,919388.5521,1.08,0,0,0.78,0.03,0,0.03,0.02,0.78,0.032,3.2630382368234e-08,"Natural (less than 15 % Impervious)"
"91",91,61.92057367,7.225773467,49.19776606,543493.0873,1.08,0,0,0.4,0.42,0,0.42,0.14,5.86,0.386,7.72778918102718e-07,"Very urbanized (More than 45 % Impervious)"
"92",92,61.12416364,32.32297981,0.359272275,364994.4568,1.08,0,0,0.8,0,0,0,0,0.03,0.003,0,"Natural (less than 15 % Impervious)"
"93",93,37.87740782,0.094002039,26.0080801,520654.21,1.08,0,0,0.73,0.21,0,0.21,0.07,2.29,0.192,4.03338714960165e-07,"Urbanized (Between 15 and 45 % Impervious)"
"94",94,57.41689744,36.32299579,0,3624922.752,2.49,0,0,1.53,0,0.14,0.14,0.31,5,0.055,3.86215126716168e-08,"Natural (less than 15 % Impervious)"
"95",95,61.07100846,25.74114412,34.04731109,322086.5192,1.08,0,0,0.53,0.3,0,0.3,0.06,2.44,0.275,9.31426750629431e-07,"Urbanized (Between 15 and 45 % Impervious)"
"96",96,60.25322483,31.66308143,9.212696318,628696.5923,1.08,0,0,0.74,0.08,0,0.08,0.03,1.29,0.076,1.27247389249131e-07,"Natural (less than 15 % Impervious)"
"97",97,59.01045859,12.80407377,47.90957767,218448.3655,1.08,0,0,0.43,0.42,0,0.42,0.06,2.32,0.388,1.92265114476217e-06,"Very urbanized (More than 45 % Impervious)"
