"","subcatchment","Curve_Number","Slope","percent_imp","Area_sqft","total_precip_in","total_runon_in","total_evap_in","total_infil_in","imperv_runoff_in","perv_runoff_in","total_runoff_in","total_runoff_10_6_gal","peak_runoff_cfs","runoff_coeff","runoff_normalized","Urbanization_level"
"47",47,44.12992115,9.0178653,73.67874059,163180.851,5.94,0,0,0.96,4.24,0.51,4.75,0.48,16.51,0.799,2.91088076259634e-05,"Very urbanized (More than 45 % Impervious)"
"48",48,58.75910367,7.954645437,39.93227871,444740.1573,5.94,0,0,1.41,2.3,1.8,4.1,1.14,34.34,0.69,9.21886619119564e-06,"Urbanized (Between 15 and 45 % Impervious)"
"49",49,44.95489459,11.6266179,61.33457951,317060.0545,5.94,0,0,1.39,3.52,0.74,4.26,0.84,27.43,0.717,1.34359404142473e-05,"Very urbanized (More than 45 % Impervious)"
"50",50,61.80036144,32.39232894,1.474599605,318019.5355,5.94,0,0,2.02,0.09,3.03,3.11,0.62,14.84,0.524,9.77927344969661e-06,"Natural (less than 15 % Impervious)"
"51",51,45.48179018,3.205696179,65.70617625,194382.0056,5.94,0,0,1.22,3.76,0.67,4.43,0.54,17.68,0.746,2.27901753885392e-05,"Very urbanized (More than 45 % Impervious)"
"52",52,46.04249877,14.2092259,49.06820134,521285.7079,5.94,0,0,1.78,2.82,1,3.82,1.24,38.27,0.643,7.32803516787152e-06,"Very urbanized (More than 45 % Impervious)"
"53",53,53.98840721,21.1789757,32.12886722,143664.1278,5.94,0,0,1.65,1.86,2.08,3.94,0.35,12.53,0.664,2.74250786214706e-05,"Urbanized (Between 15 and 45 % Impervious)"
"54",54,46.30915744,11.98504143,65.90850376,301206.4425,5.94,0,0,1.19,3.76,0.68,4.44,0.83,27.29,0.748,1.47407205607828e-05,"Very urbanized (More than 45 % Impervious)"
"55",55,52.00221752,14.01245628,43.23871699,456026.8006,5.94,0,0,1.69,2.49,1.38,3.87,1.1,33.77,0.652,8.48634333532195e-06,"Urbanized (Between 15 and 45 % Impervious)"
"56",56,61.26885146,29.99659999,7.289334,634933.528,5.94,0,0,1.95,0.42,2.73,3.15,1.25,27.21,0.531,4.96114925592652e-06,"Natural (less than 15 % Impervious)"
"57",57,45.77823338,15.03656872,56.38068612,313040.0367,5.94,0,0,1.54,3.24,0.87,4.11,0.8,26.05,0.692,1.31293110086707e-05,"Very urbanized (More than 45 % Impervious)"
"58",58,46.82200738,13.47371249,50.48965135,794612.2964,5.94,0,0,1.7,2.89,0.97,3.86,1.91,57.25,0.649,4.85771491013639e-06,"Very urbanized (More than 45 % Impervious)"
"59",59,53.7404835,9.355130215,58.61615029,241399.5504,5.94,0,0,1.17,3.37,1.1,4.46,0.67,22.41,0.751,1.84755936479988e-05,"Very urbanized (More than 45 % Impervious)"
"60",60,58.26650801,10.20005574,66.27512006,130703.8635,5.94,0,0,0.81,3.82,1.06,4.88,0.4,13.9,0.821,3.73363102614025e-05,"Very urbanized (More than 45 % Impervious)"
"61",61,53.29546084,8.729538441,49.27959815,383882.1694,5.94,0,0,1.45,2.83,1.29,4.12,0.99,30.89,0.694,1.07324599275853e-05,"Very urbanized (More than 45 % Impervious)"
"62",62,47.1124157,4.969306881,57.62114314,816823.6955,5.94,0,0,1.45,3.26,0.81,4.08,2.08,62.88,0.686,4.99495793581566e-06,"Very urbanized (More than 45 % Impervious)"
"63",63,55.59826107,11.35084752,59.59508223,1260905.984,5.94,0,0,1.07,3.37,1.06,4.43,3.48,106.39,0.746,3.51334679683779e-06,"Very urbanized (More than 45 % Impervious)"
